,music_names,labels,chroma_rms_mean,chroma_rms_var,chroma_stft_mean,chroma_stft_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc_mean_1,mfcc_var_1,mfcc_mean_2,mfcc_var_2,mfcc_mean_3,mfcc_var_3,mfcc_mean_4,mfcc_var_4,mfcc_mean_5,mfcc_var_5,mfcc_mean_6,mfcc_var_6,mfcc_mean_7,mfcc_var_7,mfcc_mean_8,mfcc_var_8,mfcc_mean_9,mfcc_var_9,mfcc_mean_10,mfcc_var_10,mfcc_mean_11,mfcc_var_11,mfcc_mean_12,mfcc_var_12,mfcc_mean_13,mfcc_var_13,mfcc_mean_14,mfcc_var_14,mfcc_mean_15,mfcc_var_15,mfcc_mean_16,mfcc_var_16,mfcc_mean_17,mfcc_var_17,mfcc_mean_18,mfcc_var_18,mfcc_mean_19,mfcc_var_19,mfcc_mean_20,mfcc_var_20
1041,The Bluest Star - The 126ers.mp3,Romantic,0.116171725,0.0021509542,0.28652623,0.093500115,1241.580387938699,291175.7870765757,1604.1293793989737,285024.18164824083,2555.959544462316,1609261.2226290363,0.05422642946981424,0.001097427061765943,1.6931216e-07,0.014493409,-1.4645487e-05,0.00028355865,161.4990234375,-215.12112,3022.4993,131.38039,1453.0156,-13.23559,414.9613,31.842743,306.5327,17.961325,208.0074,18.12488,87.650734,1.8526024,127.68599,-1.845592,74.19256,-5.913547,44.67595,-7.0802794,100.57441,-23.43206,94.89804,-8.4847145,69.30162,-3.6191335,47.569973,-5.7833824,51.520824,-7.914708,54.425472,-6.2423124,45.849594,-8.348856,45.35547,-4.2975664,54.359425,-10.344423,69.39088,-9.247332,95.835365
1042,Sand Castles - The Green Orbs.mp3,Romantic,0.12616724,0.0019056948,0.2865224,0.087681115,1213.5514479263102,291145.7418329547,2039.8903004350184,290879.61198900396,2424.9353367477747,3668764.328889465,0.03986483830785604,0.0002984798563637452,0.0002825377,0.010590557,0.001097035,0.0029756583,107.666015625,-231.24896,6279.285,127.86923,621.7851,46.640606,488.48712,33.297466,190.55215,16.98217,172.50998,11.417193,72.02127,4.7217784,71.467964,-0.9091619,89.68684,-13.3052845,73.735985,-0.88126916,67.589745,-12.234604,59.300346,-10.668063,82.656296,-12.075667,92.69521,-9.141459,63.80667,-12.548246,65.30805,-0.6218074,51.03131,-3.6552484,38.48648,2.1533358,47.69447,0.49096963,61.25329,3.7845757,68.36791
1043,As We Go - The 126ers.mp3,Romantic,0.09005652,0.0023244629,0.29226512,0.0889384,1456.8874602962726,326339.71258249355,1959.2807250726073,342087.78285028465,3098.39793107827,2510899.200169185,0.05426233250290248,0.0005438108957379756,-7.3868587e-06,0.009293358,-7.945349e-06,0.00029457646,135.99917763157896,-224.0131,3623.2747,120.584885,1172.7474,-6.5614204,735.4366,31.918905,327.0706,21.956139,134.09366,7.89538,165.5523,2.2178767,94.62647,4.9934134,103.933655,2.717098,70.31794,2.7852688,69.1184,-3.2758672,75.38672,0.90050626,123.54575,-9.30928,95.95177,-7.088875,64.761635,-10.322424,54.842747,-1.7989732,59.968357,-3.7268245,54.77267,2.4864852,44.39889,-7.9526706,64.33546,-1.7394854,43.079136
1044,Despite The Traffic - Wes Hutchinson.mp3,Romantic,0.0902825,0.0016955844,0.25217655,0.08590944,1137.1747900756438,246652.18076084973,1735.831014309395,282356.4691766704,2207.678317137916,2190373.778680429,0.04417471398510062,0.0005705083159757138,-1.3919879e-06,0.007923667,-1.4070338e-05,0.0007021933,184.5703125,-282.16855,6283.535,118.08706,894.027,21.634575,296.5582,27.259726,189.2048,8.275378,114.171974,17.43436,76.58026,5.991723,59.09195,-9.052275,83.57966,-24.51226,108.58613,-18.780167,83.70477,-18.13519,61.573627,-10.628527,76.55183,-13.97008,55.957546,-19.109995,52.349136,-17.504822,61.561096,-12.374877,72.112404,-9.944604,61.725456,-1.0686855,81.493835,-0.5682702,88.64542,7.1851583,95.41226
1045,Forget Me Not - E's Jammy Jams.mp3,Romantic,0.054301195,0.0013626136,0.3064788,0.09687168,1284.2954824917024,366348.35888771596,1907.029017087669,557991.730641247,2809.633010533572,3873278.5149878236,0.03986975135448916,0.0005381252478421564,8.845542e-06,0.0029869732,-6.54533e-07,0.0005608267,103.359375,-318.8485,7364.1826,123.693375,1429.6924,28.102354,664.1636,19.6216,288.51315,10.189812,113.34573,12.719248,149.12369,3.2351725,88.687996,5.8297744,88.05097,-0.7347965,94.68924,3.2055187,85.73156,-2.3869057,81.89634,0.12278535,95.19416,0.6624172,82.926125,5.281894,84.986404,-0.64241374,95.202995,0.6127713,55.032272,-2.5209913,72.58493,0.6770728,92.08836,-3.610649,82.824875,-1.754311,77.7003
1046,Erykah - Otis McDonald.mp3,Romantic,0.14277303,0.020713177,0.49388096,0.09457561,2078.8369330418177,1027813.6620075066,2322.1254664431735,224270.81901805376,4415.889964384191,4198671.985867434,0.0702584564870356,0.004258166373071401,0.00010468285,0.00074818527,-6.8332614e-05,0.037423324,95.703125,-211.48645,6812.2246,89.016075,832.68176,10.7224455,809.49896,32.364666,200.23512,-7.4514728,279.1065,16.888998,183.37543,0.739906,196.80466,3.3674548,182.51077,-0.6116898,118.13329,1.3697358,133.04362,-3.892644,140.78723,5.454939,116.501656,6.6044583,74.88747,6.741893,64.01873,-2.207035,62.392307,0.7241003,62.025154,-1.0329455,51.314827,3.2742486,61.24759,-0.87491006,46.47347,3.1699443,38.189358
1047,Spanish Ladies - US Navy Academy Men's Glee Club.mp3,Romantic,0.009984865,3.7493206e-05,0.25907236,0.09546871,2117.7657744820526,992867.2044398743,2195.2925391836234,234537.17551910703,3969.2676650481326,3522165.8034145012,0.09861504994678792,0.006258733739470491,-1.0734466e-06,0.00012236284,-1.455088e-05,5.194874e-06,151.99908088235293,-422.74924,2733.6116,94.88471,1153.9323,-11.697756,649.02435,18.563848,360.69385,6.1850195,499.438,-16.36186,369.48172,-4.948817,173.13136,5.828302,110.88915,-21.072563,144.87065,7.271001,130.40526,-6.363303,189.70312,-0.5273171,101.37405,-3.0617146,70.243744,-0.34079885,53.140224,-4.862344,42.689663,-3.3607934,43.625473,-13.051071,58.31366,-2.9024322,43.145264,-6.3874354,37.620518,-7.991109,46.547176
1048,Together With You - JR Tundra.mp3,Romantic,0.1462735,0.0031835407,0.27628365,0.08978662,1303.005585503209,299570.92669888947,1899.2356100515333,171304.36940310732,2673.6421661849363,2106321.634076029,0.042279789691369966,0.0007628436361547387,8.771314e-06,0.018156756,-8.907652e-05,0.0033413237,99.38401442307692,-187.32823,1794.9323,122.20617,579.0566,7.5807767,331.87646,41.11295,117.807106,17.114607,78.33342,20.038582,76.86964,0.7923251,73.74287,-3.550575,59.877617,-14.050719,81.015686,-5.076116,63.743084,-11.025899,62.18248,-8.228875,64.48937,-10.965484,56.90283,-2.546848,42.613304,-8.985146,59.86794,-3.5298913,49.205254,-5.2478166,54.19425,0.15078934,45.73616,-4.9996824,86.12074,-2.0143418,91.90011
1049,Take You - Vibe Tracks.mp3,Romantic,0.2131885,0.00879878,0.4855613,0.08420923,1682.3287908542907,1401168.7298230447,1867.0307163259058,891408.695242163,3613.553149338477,6655386.589318399,0.054661423060178016,0.0051789393209110985,-2.7643462e-05,0.039649926,-1.4347686e-05,0.008429232,129.19921875,-149.39151,6700.8784,123.7241,4196.989,2.5591755,871.8357,16.925089,667.96906,5.0171485,352.3728,8.401927,164.68709,-3.2061045,196.74942,2.764212,133.89355,-4.922304,200.42722,0.377789,110.222305,-1.0764251,178.12346,4.5287943,97.895966,0.370538,132.17769,2.7292826,69.91327,-2.1658347,98.35495,1.3131967,76.13936,0.91606134,105.14348,4.4678802,85.72429,2.2464597,101.933655,5.6090217,57.643837
1050,Jazz Piano Bar - Doug Maxwell_Media Right Productions.mp3,Romantic,0.049754836,0.0008417688,0.24099734,0.084970884,619.893417088396,27575.545115294783,645.3605640012423,26563.128345017936,1017.6188465980554,91419.6173789301,0.042040940039667185,0.00018645959003219667,-2.7616477e-07,0.0029680682,-2.0982374e-05,7.291556e-05,95.703125,-361.5829,3883.2356,179.17934,622.564,14.750578,664.17017,5.8055563,143.87732,8.803841,107.37498,-0.9487746,138.58003,-5.635488,69.558205,-10.297533,105.73007,-11.069718,106.40026,-12.861325,76.086266,-11.892103,102.243454,-7.0447617,97.98552,-1.8810854,91.86674,-0.68759865,119.87256,-3.1446972,145.43582,-6.094785,120.80563,-8.774012,120.37146,-9.069103,114.2091,-8.952023,75.04182,-9.481442,87.54673
